ID,cins,yas,Medenidurum,Egtmdurumu,gorevsure,gorevg,TOZT1,TOZT2,TOZT3,TOZT4_cev,TOZT5_cev,TODT1,TODT2,TODT3,TODT4,TODT5,TODT6,TOFT1,TOFT2,TOFT3,TOFT4,TOFT5,TOFT6_cev,TOFT7,ODD1,ODD2,ODD3_cev,ODD4,ODD5_cev,ODD6,ODD7_cev,ODD8,Tuken,Tuken_Zihin,Tuken_Duyg,Tuken_Fizik,OrgDest
82,2 Kadın,24,1 Bekar,"4 Üniversite ",4,2 Hasta hizmetleri,1,1,1,1,4,3,3,3,5,5,5,5,5,5,3,5,4,5,4,2,5,1,4,2,4,2,3.5555555555555554,1.6,4,4.571428571428571,3
83,2 Kadın,24,1 Bekar,"4 Üniversite ",4,2 Hasta hizmetleri,1,1,1,1,4,3,3,3,5,5,5,5,5,5,3,5,4,5,4,2,5,1,4,2,4,2,3.5555555555555554,1.6,4,4.571428571428571,3
84,2 Kadın,24,1 Bekar,"4 Üniversite ",4,2 Hasta hizmetleri,1,1,1,1,4,3,3,3,5,5,5,5,5,5,3,5,4,5,4,2,5,1,4,2,4,2,3.5555555555555554,1.6,4,4.571428571428571,3
85,2 Kadın,24,1 Bekar,"4 Üniversite ",4,2 Hasta hizmetleri,1,1,1,1,4,3,3,3,5,5,5,5,5,5,3,5,4,5,4,2,5,1,4,2,4,2,3.5555555555555554,1.6,4,4.571428571428571,3
86,2 Kadın,24,1 Bekar,"4 Üniversite ",4,2 Hasta hizmetleri,1,1,1,1,4,3,3,3,5,5,5,5,5,5,3,5,4,5,4,2,5,1,4,2,4,2,3.5555555555555554,1.6,4,4.571428571428571,3
87,2 Kadın,24,1 Bekar,"4 Üniversite ",4,2 Hasta hizmetleri,1,1,1,1,4,3,3,3,5,5,5,5,5,5,3,5,4,5,4,2,5,1,4,2,4,2,3.5555555555555554,1.6,4,4.571428571428571,3
88,2 Kadın,24,1 Bekar,"4 Üniversite ",4,2 Hasta hizmetleri,1,1,1,1,4,3,3,3,5,5,5,5,5,5,3,5,4,5,4,2,5,1,4,2,4,2,3.5555555555555554,1.6,4,4.571428571428571,3
89,2 Kadın,24,1 Bekar,"4 Üniversite ",4,2 Hasta hizmetleri,1,1,1,1,4,3,3,3,5,5,5,5,5,5,3,5,4,5,4,2,5,1,4,2,4,2,3.5555555555555554,1.6,4,4.571428571428571,3
90,2 Kadın,24,1 Bekar,"4 Üniversite ",2,3 Hemşire,4,2,1,2,2,4,4,4,4,4,4,2,2,2,3,3,4,2,4,3,4,2,4,4,2,2,2.9444444444444446,2.2,4,2.5714285714285716,3.125
91,2 Kadın,24,1 Bekar,3 Lise,4,2 Hasta hizmetleri,5,5,5,4,4,5,2,5,3,5,5,5,5,5,5,5,1,5,2,2,4,2,3,3,3,2,4.388888888888889,4.6,4.166666666666667,4.428571428571429,2.625
92,2 Kadın,26,2 Evli,3 Lise,2,2 Hasta hizmetleri,5,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,3,4,4,2,3,4,3,2.3333333333333335,2.6,2,2.4285714285714284,3.125
93,2 Kadın,26,1 Bekar,3 Lise,7,2 Hasta hizmetleri,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,4,4,4,5,5,2,4,2,1.4444444444444444,1.8,1,1.5714285714285714,3.75
